nct_id,snapshot_months,start_year,label,duration_days,phase_num,sponsor_num,is_industry,log_planned_enrollment,n_arms,n_countries,is_multinational,n_primary_outcomes,log_n_eligibility_chars,has_drug,has_device,has_biological,n_sites,n_status_changes,had_suspension,n_amendments,enrollment_velocity,enrollment_still_anticipated,status_is_recruiting,status_is_active_not_rec,status_is_suspended,status_is_not_yet_rec,elapsed_days
NCT00004921,3,1998,0,3287.0,3,4,0,0.0,0,9,1,0,6.8885724595653635,1,0,1,17,0,0,0,0.0,0,0,0,0,0,91
NCT00004921,6,1998,0,3287.0,3,4,0,0.0,0,9,1,0,6.8885724595653635,1,0,1,17,0,0,0,0.0,0,0,0,0,0,182
NCT00004921,12,1998,0,3287.0,3,4,0,0.0,0,9,1,0,6.8885724595653635,1,0,1,17,0,0,0,0.0,0,0,0,0,0,364
NCT01459614,3,2011,0,1827.0,2,4,0,3.8066624897703196,1,1,0,1,8.209852481301272,1,0,0,1,0,0,0,0.4835164835164835,0,0,0,0,0,91
NCT01459614,6,2011,0,1827.0,2,4,0,3.8066624897703196,1,1,0,1,8.209852481301272,1,0,0,1,0,0,0,0.24175824175824176,0,0,0,0,0,182
NCT01459614,12,2011,0,1827.0,2,4,0,3.8066624897703196,1,1,0,1,8.209852481301272,1,0,0,1,0,0,0,0.12087912087912088,0,0,0,0,0,364
NCT01399684,3,2011,0,823.0,2,0,1,4.852030263919617,2,5,1,1,8.346642090221199,1,0,0,40,0,0,0,1.3956043956043955,0,0,0,0,0,91
NCT01399684,6,2011,0,823.0,2,0,1,4.852030263919617,2,5,1,1,8.346642090221199,1,0,0,40,0,0,0,0.6978021978021978,0,0,0,0,0,182
NCT01399684,12,2011,0,823.0,2,0,1,4.852030263919617,2,5,1,1,8.346642090221199,1,0,0,40,0,0,0,0.3489010989010989,0,0,0,0,0,364
NCT01355484,3,2011,0,1066.0,3,0,1,5.7745515455444085,2,1,0,2,8.19118600464279,1,0,0,27,0,0,0,3.5274725274725274,0,0,0,0,0,91
NCT01355484,6,2011,0,1066.0,3,0,1,5.7745515455444085,2,1,0,2,8.19118600464279,1,0,0,27,0,0,0,1.7637362637362637,0,0,0,0,0,182
NCT01355484,12,2011,0,1066.0,3,0,1,5.7745515455444085,2,1,0,2,8.19118600464279,1,0,0,27,0,0,0,0.8818681318681318,0,0,0,0,0,364
NCT00529984,3,2007,0,973.0,1,0,1,3.367295829986474,5,1,0,1,7.790696031174738,0,0,1,1,0,0,0,0.3076923076923077,0,0,0,0,0,91
NCT00529984,6,2007,0,973.0,1,0,1,3.367295829986474,5,1,0,1,7.790696031174738,0,0,1,1,0,0,0,0.15384615384615385,0,0,0,0,0,182
NCT00529984,12,2007,0,973.0,1,0,1,3.367295829986474,5,1,0,1,7.790696031174738,0,0,1,1,0,0,0,0.07692307692307693,0,0,0,0,0,364
NCT00085826,3,2001,0,1340.0,3,0,1,6.398594934535208,0,1,0,0,2.995732273553991,1,0,0,114,0,0,0,6.593406593406593,0,0,0,0,0,91
NCT00085826,6,2001,0,1340.0,3,0,1,6.398594934535208,0,1,0,0,2.995732273553991,1,0,0,114,0,0,0,3.2967032967032965,0,0,0,0,0,182
NCT00085826,12,2001,0,1340.0,3,0,1,6.398594934535208,0,1,0,0,2.995732273553991,1,0,0,114,0,0,0,1.6483516483516483,0,0,0,0,0,364
NCT03155425,3,2017,0,1209.0,2,0,1,4.330733340286331,1,1,0,1,8.304989580140361,1,0,0,2,0,0,0,0.8241758241758241,0,0,0,0,0,91
NCT03155425,6,2017,0,1209.0,2,0,1,4.330733340286331,1,1,0,1,8.304989580140361,1,0,0,2,0,0,0,0.41208791208791207,0,0,0,0,0,182
NCT03155425,12,2017,0,1209.0,2,0,1,4.330733340286331,1,1,0,1,8.304989580140361,1,0,0,2,0,0,0,0.20604395604395603,0,0,0,0,0,364
NCT00004011,3,1999,0,4780.0,3,4,0,5.872117789475416,2,2,1,0,7.813591552952433,1,0,0,287,0,0,0,3.89010989010989,0,0,0,0,0,91
NCT00004011,6,1999,0,4780.0,3,4,0,5.872117789475416,2,2,1,0,7.813591552952433,1,0,0,287,0,0,0,1.945054945054945,0,0,0,0,0,182
NCT00004011,12,1999,0,4780.0,3,4,0,5.872117789475416,2,2,1,0,7.813591552952433,1,0,0,287,0,0,0,0.9725274725274725,0,0,0,0,0,364
NCT04305236,3,2020,1,573.0,2,4,0,0.6931471805599453,1,1,0,1,8.704833909687792,1,0,0,1,0,0,0,0.01098901098901099,0,0,0,0,0,91
